name,type,value,date
Afghanistan,confirmed,0.0,2020-01-22
Afghanistan,confirmed,0.0,2020-01-23
Afghanistan,confirmed,0.0,2020-01-24
Afghanistan,confirmed,0.0,2020-01-25
Afghanistan,confirmed,0.0,2020-01-26
Afghanistan,confirmed,0.0,2020-01-27
Afghanistan,confirmed,0.0,2020-01-28
Afghanistan,confirmed,0.0,2020-01-29
Afghanistan,confirmed,0.0,2020-01-30
Afghanistan,confirmed,0.0,2020-01-31
Afghanistan,confirmed,0.0,2020-02-01
Afghanistan,confirmed,0.0,2020-02-02
Afghanistan,confirmed,0.0,2020-02-03
Afghanistan,confirmed,0.0,2020-02-04
Afghanistan,confirmed,0.0,2020-02-05
Afghanistan,confirmed,0.0,2020-02-06
Afghanistan,confirmed,0.0,2020-02-07
Afghanistan,confirmed,0.0,2020-02-08
Afghanistan,confirmed,0.0,2020-02-09
Afghanistan,confirmed,0.0,2020-02-10
Afghanistan,confirmed,0.0,2020-02-11
Afghanistan,confirmed,0.0,2020-02-12
Afghanistan,confirmed,0.0,2020-02-13
Afghanistan,confirmed,0.0,2020-02-14
Afghanistan,confirmed,0.0,2020-02-15
Afghanistan,confirmed,0.0,2020-02-16
Afghanistan,confirmed,0.0,2020-02-17
Afghanistan,confirmed,0.0,2020-02-18
Afghanistan,confirmed,0.0,2020-02-19
Afghanistan,confirmed,0.0,2020-02-20
Afghanistan,confirmed,0.0,2020-02-21
Afghanistan,confirmed,0.0,2020-02-22
Afghanistan,confirmed,0.0,2020-02-23
Afghanistan,confirmed,1.0,2020-02-24
Afghanistan,confirmed,1.0,2020-02-25
Afghanistan,confirmed,1.0,2020-02-26
Algeria,confirmed,0.0,2020-01-22
Algeria,confirmed,0.0,2020-01-23
Algeria,confirmed,0.0,2020-01-24
Algeria,confirmed,0.0,2020-01-25
Algeria,confirmed,0.0,2020-01-26
Algeria,confirmed,0.0,2020-01-27
Algeria,confirmed,0.0,2020-01-28
Algeria,confirmed,0.0,2020-01-29
Algeria,confirmed,0.0,2020-01-30
Algeria,confirmed,0.0,2020-01-31
Algeria,confirmed,0.0,2020-02-01
Algeria,confirmed,0.0,2020-02-02
Algeria,confirmed,0.0,2020-02-03
Algeria,confirmed,0.0,2020-02-04
Algeria,confirmed,0.0,2020-02-05
Algeria,confirmed,0.0,2020-02-06
Algeria,confirmed,0.0,2020-02-07
Algeria,confirmed,0.0,2020-02-08
Algeria,confirmed,0.0,2020-02-09
Algeria,confirmed,0.0,2020-02-10
Algeria,confirmed,0.0,2020-02-11
Algeria,confirmed,0.0,2020-02-12
Algeria,confirmed,0.0,2020-02-13
Algeria,confirmed,0.0,2020-02-14
Algeria,confirmed,0.0,2020-02-15
Algeria,confirmed,0.0,2020-02-16
Algeria,confirmed,0.0,2020-02-17
Algeria,confirmed,0.0,2020-02-18
Algeria,confirmed,0.0,2020-02-19
Algeria,confirmed,0.0,2020-02-20
Algeria,confirmed,0.0,2020-02-21
Algeria,confirmed,0.0,2020-02-22
Algeria,confirmed,0.0,2020-02-23
Algeria,confirmed,0.0,2020-02-24
Algeria,confirmed,1.0,2020-02-25
Algeria,confirmed,1.0,2020-02-26
Australia,confirmed,0.0,2020-01-22
Australia,confirmed,0.0,2020-01-23
Australia,confirmed,0.0,2020-01-24
Australia,confirmed,0.0,2020-01-25
Australia,confirmed,4.0,2020-01-26
Australia,confirmed,5.0,2020-01-27
Australia,confirmed,5.0,2020-01-28
Australia,confirmed,6.0,2020-01-29
Australia,confirmed,11.0,2020-01-30
Australia,confirmed,11.0,2020-01-31
Australia,confirmed,14.0,2020-02-01
Australia,confirmed,14.0,2020-02-02
Australia,confirmed,14.0,2020-02-03
Australia,confirmed,15.0,2020-02-04
Australia,confirmed,15.0,2020-02-05
Australia,confirmed,16.0,2020-02-06
Australia,confirmed,17.0,2020-02-07
Australia,confirmed,17.0,2020-02-08
Australia,confirmed,17.0,2020-02-09
Australia,confirmed,17.0,2020-02-10
Australia,confirmed,17.0,2020-02-11
Australia,confirmed,17.0,2020-02-12
Australia,confirmed,23.0,2020-02-13
Australia,confirmed,23.0,2020-02-14
Australia,confirmed,23.0,2020-02-15
Australia,confirmed,23.0,2020-02-16
Australia,confirmed,25.0,2020-02-17
Australia,confirmed,25.0,2020-02-18
Australia,confirmed,25.0,2020-02-19
Australia,confirmed,25.0,2020-02-20
Australia,confirmed,30.0,2020-02-21
Australia,confirmed,33.0,2020-02-22
Australia,confirmed,33.0,2020-02-23
Australia,confirmed,33.0,2020-02-24
Australia,confirmed,33.0,2020-02-25
Australia,confirmed,33.0,2020-02-26
Austria,confirmed,0.0,2020-01-22
Austria,confirmed,0.0,2020-01-23
Austria,confirmed,0.0,2020-01-24
Austria,confirmed,0.0,2020-01-25
Austria,confirmed,0.0,2020-01-26
Austria,confirmed,0.0,2020-01-27
Austria,confirmed,0.0,2020-01-28
Austria,confirmed,0.0,2020-01-29
Austria,confirmed,0.0,2020-01-30
Austria,confirmed,0.0,2020-01-31
Austria,confirmed,0.0,2020-02-01
Austria,confirmed,0.0,2020-02-02
Austria,confirmed,0.0,2020-02-03
Austria,confirmed,0.0,2020-02-04
Austria,confirmed,0.0,2020-02-05
Austria,confirmed,0.0,2020-02-06
Austria,confirmed,0.0,2020-02-07
Austria,confirmed,0.0,2020-02-08
Austria,confirmed,0.0,2020-02-09
Austria,confirmed,0.0,2020-02-10
Austria,confirmed,0.0,2020-02-11
Austria,confirmed,0.0,2020-02-12
Austria,confirmed,0.0,2020-02-13
Austria,confirmed,0.0,2020-02-14
Austria,confirmed,0.0,2020-02-15
Austria,confirmed,0.0,2020-02-16
Austria,confirmed,0.0,2020-02-17
Austria,confirmed,0.0,2020-02-18
Austria,confirmed,0.0,2020-02-19
Austria,confirmed,0.0,2020-02-20
Austria,confirmed,0.0,2020-02-21
Austria,confirmed,0.0,2020-02-22
Austria,confirmed,0.0,2020-02-23
Austria,confirmed,0.0,2020-02-24
Austria,confirmed,2.0,2020-02-25
Austria,confirmed,2.0,2020-02-26
Bahrain,confirmed,0.0,2020-01-22
Bahrain,confirmed,0.0,2020-01-23
Bahrain,confirmed,0.0,2020-01-24
Bahrain,confirmed,0.0,2020-01-25
Bahrain,confirmed,0.0,2020-01-26
Bahrain,confirmed,0.0,2020-01-27
Bahrain,confirmed,0.0,2020-01-28
Bahrain,confirmed,0.0,2020-01-29
Bahrain,confirmed,0.0,2020-01-30
Bahrain,confirmed,0.0,2020-01-31
Bahrain,confirmed,0.0,2020-02-01
Bahrain,confirmed,0.0,2020-02-02
Bahrain,confirmed,0.0,2020-02-03
Bahrain,confirmed,0.0,2020-02-04
Bahrain,confirmed,0.0,2020-02-05
Bahrain,confirmed,0.0,2020-02-06
Bahrain,confirmed,0.0,2020-02-07
Bahrain,confirmed,0.0,2020-02-08
Bahrain,confirmed,0.0,2020-02-09
Bahrain,confirmed,0.0,2020-02-10
Bahrain,confirmed,0.0,2020-02-11
Bahrain,confirmed,0.0,2020-02-12
Bahrain,confirmed,0.0,2020-02-13
Bahrain,confirmed,0.0,2020-02-14
Bahrain,confirmed,0.0,2020-02-15
Bahrain,confirmed,0.0,2020-02-16
Bahrain,confirmed,0.0,2020-02-17
Bahrain,confirmed,0.0,2020-02-18
Bahrain,confirmed,0.0,2020-02-19
Bahrain,confirmed,0.0,2020-02-20
Bahrain,confirmed,0.0,2020-02-21
Bahrain,confirmed,0.0,2020-02-22
Bahrain,confirmed,0.0,2020-02-23
Bahrain,confirmed,1.0,2020-02-24
Bahrain,confirmed,23.0,2020-02-25
Bahrain,confirmed,33.0,2020-02-26
Belgium,confirmed,0.0,2020-01-22
Belgium,confirmed,0.0,2020-01-23
Belgium,confirmed,0.0,2020-01-24
Belgium,confirmed,0.0,2020-01-25
Belgium,confirmed,0.0,2020-01-26
Belgium,confirmed,0.0,2020-01-27
Belgium,confirmed,0.0,2020-01-28
Belgium,confirmed,0.0,2020-01-29
Belgium,confirmed,0.0,2020-01-30
Belgium,confirmed,0.0,2020-01-31
Belgium,confirmed,0.0,2020-02-01
Belgium,confirmed,0.0,2020-02-02
Belgium,confirmed,0.0,2020-02-03
Belgium,confirmed,1.0,2020-02-04
Belgium,confirmed,1.0,2020-02-05
Belgium,confirmed,1.0,2020-02-06
Belgium,confirmed,1.0,2020-02-07
Belgium,confirmed,1.0,2020-02-08
Belgium,confirmed,1.0,2020-02-09
Belgium,confirmed,1.0,2020-02-10
Belgium,confirmed,1.0,2020-02-11
Belgium,confirmed,1.0,2020-02-12
Belgium,confirmed,1.0,2020-02-13
Belgium,confirmed,1.0,2020-02-14
Belgium,confirmed,1.0,2020-02-15
Belgium,confirmed,1.0,2020-02-16
Belgium,confirmed,2.0,2020-02-17
Belgium,confirmed,2.0,2020-02-18
Belgium,confirmed,2.0,2020-02-19
Belgium,confirmed,2.0,2020-02-20
Belgium,confirmed,2.0,2020-02-21
Belgium,confirmed,2.0,2020-02-22
Belgium,confirmed,2.0,2020-02-23
Belgium,confirmed,2.0,2020-02-24
Belgium,confirmed,2.0,2020-02-25
Belgium,confirmed,2.0,2020-02-26
Brazil,confirmed,0.0,2020-01-22
Brazil,confirmed,0.0,2020-01-23
Brazil,confirmed,0.0,2020-01-24
Brazil,confirmed,0.0,2020-01-25
Brazil,confirmed,0.0,2020-01-26
Brazil,confirmed,0.0,2020-01-27
Brazil,confirmed,0.0,2020-01-28
Brazil,confirmed,0.0,2020-01-29
Brazil,confirmed,0.0,2020-01-30
Brazil,confirmed,0.0,2020-01-31
Brazil,confirmed,0.0,2020-02-01
Brazil,confirmed,0.0,2020-02-02
Brazil,confirmed,0.0,2020-02-03
Brazil,confirmed,0.0,2020-02-04
Brazil,confirmed,0.0,2020-02-05
Brazil,confirmed,0.0,2020-02-06
Brazil,confirmed,0.0,2020-02-07
Brazil,confirmed,0.0,2020-02-08
Brazil,confirmed,0.0,2020-02-09
Brazil,confirmed,0.0,2020-02-10
Brazil,confirmed,0.0,2020-02-11
Brazil,confirmed,0.0,2020-02-12
Brazil,confirmed,0.0,2020-02-13
Brazil,confirmed,0.0,2020-02-14
Brazil,confirmed,0.0,2020-02-15
Brazil,confirmed,0.0,2020-02-16
Brazil,confirmed,0.0,2020-02-17
Brazil,confirmed,0.0,2020-02-18
Brazil,confirmed,0.0,2020-02-19
Brazil,confirmed,0.0,2020-02-20
Brazil,confirmed,0.0,2020-02-21
Brazil,confirmed,0.0,2020-02-22
Brazil,confirmed,0.0,2020-02-23
Brazil,confirmed,0.0,2020-02-24
Brazil,confirmed,0.0,2020-02-25
Brazil,confirmed,1.0,2020-02-26
Cambodia,confirmed,0.0,2020-01-22
Cambodia,confirmed,0.0,2020-01-23
Cambodia,confirmed,0.0,2020-01-24
Cambodia,confirmed,0.0,2020-01-25
Cambodia,confirmed,0.0,2020-01-26
Cambodia,confirmed,1.0,2020-01-27
Cambodia,confirmed,1.0,2020-01-28
Cambodia,confirmed,1.0,2020-01-29
Cambodia,confirmed,1.0,2020-01-30
Cambodia,confirmed,1.0,2020-01-31
Cambodia,confirmed,1.0,2020-02-01
Cambodia,confirmed,1.0,2020-02-02
Cambodia,confirmed,1.0,2020-02-03
Cambodia,confirmed,1.0,2020-02-04
Cambodia,confirmed,1.0,2020-02-05
Cambodia,confirmed,1.0,2020-02-06
Cambodia,confirmed,1.0,2020-02-07
Cambodia,confirmed,1.0,2020-02-08
Cambodia,confirmed,1.0,2020-02-09
Cambodia,confirmed,1.0,2020-02-10
Cambodia,confirmed,1.0,2020-02-11
Cambodia,confirmed,2.0,2020-02-12
