name,type,value,date
上海,治愈率,0.0,2020-01-20
全国,治愈率,8.59106529209622,2020-01-20
北京,治愈率,0.0,2020-01-20
广东,治愈率,0.0,2020-01-20
湖北,治愈率,9.25925925925926,2020-01-20
上海,治愈率,0.0,2020-01-21
云南,治愈率,0.0,2020-01-21
全国,治愈率,6.349206349206349,2020-01-21
北京,治愈率,0.0,2020-01-21
四川,治愈率,0.0,2020-01-21
天津,治愈率,0.0,2020-01-21
安徽,治愈率,0.0,2020-01-21
山东,治愈率,0.0,2020-01-21
广东,治愈率,0.0,2020-01-21
江西,治愈率,0.0,2020-01-21
河南,治愈率,0.0,2020-01-21
浙江,治愈率,0.0,2020-01-21
湖北,治愈率,7.466666666666667,2020-01-21
湖南,治愈率,0.0,2020-01-21
福建,治愈率,0.0,2020-01-21
重庆,治愈率,0.0,2020-01-21
黑龙江,治愈率,0.0,2020-01-21
上海,治愈率,0.0,2020-01-22
云南,治愈率,0.0,2020-01-22
全国,治愈率,4.73186119873817,2020-01-22
北京,治愈率,0.0,2020-01-22
台湾,治愈率,0.0,2020-01-22
吉林,治愈率,0.0,2020-01-22
四川,治愈率,0.0,2020-01-22
天津,治愈率,0.0,2020-01-22
宁夏,治愈率,0.0,2020-01-22
安徽,治愈率,0.0,2020-01-22
山东,治愈率,0.0,2020-01-22
山西,治愈率,0.0,2020-01-22
广东,治愈率,6.25,2020-01-22
广西,治愈率,0.0,2020-01-22
新疆,治愈率,0.0,2020-01-22
江苏,治愈率,0.0,2020-01-22
江西,治愈率,0.0,2020-01-22
河北,治愈率,0.0,2020-01-22
河南,治愈率,0.0,2020-01-22
浙江,治愈率,0.0,2020-01-22
海南,治愈率,0.0,2020-01-22
湖北,治愈率,6.306306306306307,2020-01-22
湖南,治愈率,0.0,2020-01-22
澳门,治愈率,0.0,2020-01-22
福建,治愈率,0.0,2020-01-22
贵州,治愈率,0.0,2020-01-22
辽宁,治愈率,0.0,2020-01-22
重庆,治愈率,0.0,2020-01-22
陕西,治愈率,0.0,2020-01-22
香港,治愈率,0.0,2020-01-22
黑龙江,治愈率,0.0,2020-01-22
上海,治愈率,0.0,2020-01-23
云南,治愈率,0.0,2020-01-23
全国,治愈率,3.9458850056369785,2020-01-23
内蒙古,治愈率,0.0,2020-01-23
北京,治愈率,3.4482758620689653,2020-01-23
台湾,治愈率,0.0,2020-01-23
吉林,治愈率,0.0,2020-01-23
四川,治愈率,0.0,2020-01-23
天津,治愈率,0.0,2020-01-23
宁夏,治愈率,0.0,2020-01-23
安徽,治愈率,0.0,2020-01-23
山东,治愈率,0.0,2020-01-23
山西,治愈率,0.0,2020-01-23
广东,治愈率,3.7735849056603774,2020-01-23
广西,治愈率,0.0,2020-01-23
新疆,治愈率,0.0,2020-01-23
江苏,治愈率,0.0,2020-01-23
江西,治愈率,0.0,2020-01-23
河北,治愈率,0.0,2020-01-23
河南,治愈率,0.0,2020-01-23
浙江,治愈率,2.3255813953488373,2020-01-23
海南,治愈率,0.0,2020-01-23
湖北,治愈率,5.646630236794171,2020-01-23
湖南,治愈率,0.0,2020-01-23
澳门,治愈率,0.0,2020-01-23
甘肃,治愈率,0.0,2020-01-23
福建,治愈率,0.0,2020-01-23
贵州,治愈率,0.0,2020-01-23
辽宁,治愈率,0.0,2020-01-23
重庆,治愈率,0.0,2020-01-23
陕西,治愈率,0.0,2020-01-23
香港,治愈率,0.0,2020-01-23
黑龙江,治愈率,0.0,2020-01-23
上海,治愈率,3.0303030303030303,2020-01-24
云南,治愈率,0.0,2020-01-24
全国,治愈率,2.7696793002915454,2020-01-24
内蒙古,治愈率,0.0,2020-01-24
北京,治愈率,4.878048780487805,2020-01-24
台湾,治愈率,0.0,2020-01-24
吉林,治愈率,0.0,2020-01-24
四川,治愈率,0.0,2020-01-24
天津,治愈率,0.0,2020-01-24
宁夏,治愈率,0.0,2020-01-24
安徽,治愈率,0.0,2020-01-24
山东,治愈率,0.0,2020-01-24
山西,治愈率,0.0,2020-01-24
广东,治愈率,2.5641025641025643,2020-01-24
广西,治愈率,0.0,2020-01-24
新疆,治愈率,0.0,2020-01-24
江苏,治愈率,5.555555555555555,2020-01-24
江西,治愈率,0.0,2020-01-24
河北,治愈率,0.0,2020-01-24
河南,治愈率,0.0,2020-01-24
浙江,治愈率,0.0,2020-01-24
海南,治愈率,0.0,2020-01-24
湖北,治愈率,4.383561643835616,2020-01-24
湖南,治愈率,0.0,2020-01-24
澳门,治愈率,0.0,2020-01-24
甘肃,治愈率,0.0,2020-01-24
福建,治愈率,0.0,2020-01-24
贵州,治愈率,0.0,2020-01-24
辽宁,治愈率,0.0,2020-01-24
重庆,治愈率,0.0,2020-01-24
陕西,治愈率,0.0,2020-01-24
青海,治愈率,0.0,2020-01-24
香港,治愈率,0.0,2020-01-24
黑龙江,治愈率,0.0,2020-01-24
上海,治愈率,2.5,2020-01-25
云南,治愈率,0.0,2020-01-25
全国,治愈率,2.371732817037754,2020-01-25
内蒙古,治愈率,0.0,2020-01-25
北京,治愈率,3.1746031746031744,2020-01-25
台湾,治愈率,0.0,2020-01-25
吉林,治愈率,0.0,2020-01-25
四川,治愈率,0.0,2020-01-25
天津,治愈率,0.0,2020-01-25
宁夏,治愈率,0.0,2020-01-25
安徽,治愈率,0.0,2020-01-25
山东,治愈率,0.0,2020-01-25
山西,治愈率,0.0,2020-01-25
广东,治愈率,1.8018018018018018,2020-01-25
广西,治愈率,0.0,2020-01-25
新疆,治愈率,0.0,2020-01-25
江苏,治愈率,3.0303030303030303,2020-01-25
江西,治愈率,0.0,2020-01-25
河北,治愈率,0.0,2020-01-25
河南,治愈率,0.0,2020-01-25
浙江,治愈率,0.9615384615384616,2020-01-25
海南,治愈率,0.0,2020-01-25
湖北,治愈率,3.9697542533081287,2020-01-25
湖南,治愈率,0.0,2020-01-25
澳门,治愈率,0.0,2020-01-25
甘肃,治愈率,0.0,2020-01-25
福建,治愈率,0.0,2020-01-25
贵州,治愈率,0.0,2020-01-25
辽宁,治愈率,0.0,2020-01-25
重庆,治愈率,0.0,2020-01-25
陕西,治愈率,0.0,2020-01-25
青海,治愈率,0.0,2020-01-25
香港,治愈率,0.0,2020-01-25
黑龙江,治愈率,0.0,2020-01-25
上海,治愈率,5.660377358490566,2020-01-26
云南,治愈率,0.0,2020-01-26
全国,治愈率,1.969057665260197,2020-01-26
内蒙古,治愈率,0.0,2020-01-26
北京,治愈率,2.7777777777777777,2020-01-26
台湾,治愈率,0.0,2020-01-26
吉林,治愈率,0.0,2020-01-26
四川,治愈率,0.0,2020-01-26
天津,治愈率,0.0,2020-01-26
宁夏,治愈率,0.0,2020-01-26
安徽,治愈率,0.0,2020-01-26
山东,治愈率,0.0,2020-01-26
山西,治愈率,0.0,2020-01-26
广东,治愈率,1.9867549668874172,2020-01-26
广西,治愈率,0.0,2020-01-26
新疆,治愈率,0.0,2020-01-26
江苏,治愈率,2.127659574468085,2020-01-26
江西,治愈率,2.0833333333333335,2020-01-26
河北,治愈率,0.0,2020-01-26
河南,治愈率,0.0,2020-01-26
浙江,治愈率,0.78125,2020-01-26
海南,治愈率,0.0,2020-01-26
湖北,治愈率,3.162333099086437,2020-01-26
湖南,治愈率,0.0,2020-01-26
澳门,治愈率,0.0,2020-01-26
甘肃,治愈率,0.0,2020-01-26
福建,治愈率,0.0,2020-01-26
贵州,治愈率,0.0,2020-01-26
辽宁,治愈率,0.0,2020-01-26
重庆,治愈率,0.0,2020-01-26
陕西,治愈率,0.0,2020-01-26
青海,治愈率,0.0,2020-01-26
香港,治愈率,0.0,2020-01-26
黑龙江,治愈率,0.0,2020-01-26
上海,治愈率,6.0606060606060606,2020-01-27
云南,治愈率,0.0,2020-01-27
全国,治愈率,1.5766738660907127,2020-01-27
内蒙古,治愈率,0.0,2020-01-27
北京,治愈率,4.395604395604396,2020-01-27
台湾,治愈率,0.0,2020-01-27
吉林,治愈率,0.0,2020-01-27
四川,治愈率,0.0,2020-01-27
天津,治愈率,0.0,2020-01-27
宁夏,治愈率,0.0,2020-01-27
安徽,治愈率,0.0,2020-01-27
山东,治愈率,0.0,2020-01-27
山西,治愈率,0.0,2020-01-27
广东,治愈率,1.932367149758454,2020-01-27
广西,治愈率,3.9215686274509802,2020-01-27
新疆,治愈率,0.0,2020-01-27
江苏,治愈率,1.4285714285714286,2020-01-27
江西,治愈率,4.166666666666667,2020-01-27
河北,治愈率,0.0,2020-01-27
河南,治愈率,0.0,2020-01-27
浙江,治愈率,1.7341040462427746,2020-01-27
海南,治愈率,0.0,2020-01-27
湖北,治愈率,1.915991156963891,2020-01-27
湖南,治愈率,0.0,2020-01-27
澳门,治愈率,0.0,2020-01-27
甘肃,治愈率,0.0,2020-01-27
福建,治愈率,0.0,2020-01-27
贵州,治愈率,0.0,2020-01-27
辽宁,治愈率,0.0,2020-01-27
重庆,治愈率,0.0,2020-01-27
陕西,治愈率,0.0,2020-01-27
青海,治愈率,0.0,2020-01-27
香港,治愈率,0.0,2020-01-27
黑龙江,治愈率,0.0,2020-01-27
上海,治愈率,5.208333333333333,2020-01-28
云南,治愈率,0.0,2020-01-28
全国,治愈率,1.938876109102859,2020-01-28
内蒙古,治愈率,0.0,2020-01-28
北京,治愈率,3.9215686274509802,2020-01-28
台湾,治愈率,0.0,2020-01-28
吉林,治愈率,0.0,2020-01-28
四川,治愈率,0.9259259259259259,2020-01-28
天津,治愈率,0.0,2020-01-28
宁夏,治愈率,0.0,2020-01-28
安徽,治愈率,1.3157894736842106,2020-01-28
山东,治愈率,0.7692307692307693,2020-01-28
山西,治愈率,3.7037037037037037,2020-01-28
广东,治愈率,1.8050541516245486,2020-01-28
广西,治愈率,3.4482758620689653,2020-01-28
新疆,治愈率,0.0,2020-01-28
江苏,治愈率,1.0101010101010102,2020-01-28
江西,治愈率,2.7522935779816513,2020-01-28
河北,治愈率,0.0,2020-01-28
河南,治愈率,0.4854368932038835,2020-01-28
浙江,治愈率,1.0135135135135136,2020-01-28
海南,治愈率,0.0,2020-01-28
湖北,治愈率,2.4479459763646596,2020-01-28
湖南,治愈率,0.0,2020-01-28
澳门,治愈率,0.0,2020-01-28
甘肃,治愈率,0.0,2020-01-28
福建,治愈率,0.0,2020-01-28
贵州,治愈率,11.11111111111111,2020-01-28
辽宁,治愈率,0.0,2020-01-28
重庆,治愈率,0.6802721088435374,2020-01-28
陕西,治愈率,0.0,2020-01-28
青海,治愈率,0.0,2020-01-28
香港,治愈率,0.0,2020-01-28
黑龙江,治愈率,0.0,2020-01-28
上海,治愈率,4.464285714285714,2020-01-29
云南,治愈率,0.0,2020-01-29
全国,治愈率,1.7241379310344827,2020-01-29
内蒙古,治愈率,0.0,2020-01-29
北京,治愈率,3.508771929824561,2020-01-29
台湾,治愈率,0.0,2020-01-29
吉林,治愈率,7.142857142857143,2020-01-29
四川,治愈率,0.704225352112676,2020-01-29
天津,治愈率,0.0,2020-01-29
宁夏,治愈率,0.0,2020-01-29
安徽,治愈率,1.0,2020-01-29
山东,治愈率,0.6329113924050633,2020-01-29
山西,治愈率,2.857142857142857,2020-01-29
广东,治愈率,2.824858757062147,2020-01-29
广西,治愈率,2.5641025641025643,2020-01-29
新疆,治愈率,0.0,2020-01-29
江苏,治愈率,0.7751937984496124,2020-01-29
江西,治愈率,3.0864197530864197,2020-01-29
河北,治愈率,0.0,2020-01-29
河南,治愈率,0.7194244604316546,2020-01-29
浙江,治愈率,0.9345794392523364,2020-01-29
海南,治愈率,2.1739130434782608,2020-01-29
湖北,治愈率,1.9624945486262537,2020-01-29
湖南,治愈率,0.7220216606498195,2020-01-29
澳门,治愈率,0.0,2020-01-29
甘肃,治愈率,0.0,2020-01-29
福建,治愈率,0.0,2020-01-29
西藏,治愈率,0.0,2020-01-29
贵州,治愈率,8.333333333333334,2020-01-29
辽宁,治愈率,2.4390243902439024,2020-01-29
重庆,治愈率,0.5494505494505495,2020-01-29
陕西,治愈率,0.0,2020-01-29
青海,治愈率,0.0,2020-01-29
香港,治愈率,0.0,2020-01-29
黑龙江,治愈率,0.0,2020-01-29
上海,治愈率,7.03125,2020-01-30
云南,治愈率,0.0,2020-01-30
全国,治愈率,1.8341061308603812,2020-01-30
内蒙古,治愈率,0.0,2020-01-30
北京,治愈率,4.132231404958677,2020-01-30
台湾,治愈率,0.0,2020-01-30
吉林,治愈率,7.142857142857143,2020-01-30
四川,治愈率,0.5649717514124294,2020-01-30
天津,治愈率,0.0,2020-01-30
宁夏,治愈率,0.0,2020-01-30
安徽,治愈率,1.2658227848101267,2020-01-30
山东,治愈率,1.1235955056179776,2020-01-30
山西,治愈率,2.5641025641025643,2020-01-30
广东,治愈率,2.2900763358778624,2020-01-30
广西,治愈率,2.2988505747126435,2020-01-30
新疆,治愈率,0.0,2020-01-30
江苏,治愈率,1.1904761904761905,2020-01-30
江西,治愈率,2.9166666666666665,2020-01-30
河北,治愈率,0.0,2020-01-30
河南,治愈率,0.8522727272727273,2020-01-30
浙江,治愈率,1.675977653631285,2020-01-30
海南,治愈率,2.0,2020-01-30
湖北,治愈率,1.9979331725800895,2020-01-30
湖南,治愈率,0.6024096385542169,2020-01-30
澳门,治愈率,0.0,2020-01-30
甘肃,治愈率,0.0,2020-01-30
福建,治愈率,0.0,2020-01-30
西藏,治愈率,0.0,2020-01-30
贵州,治愈率,6.666666666666667,2020-01-30
辽宁,治愈率,2.2222222222222223,2020-01-30
重庆,治愈率,0.4854368932038835,2020-01-30
陕西,治愈率,0.0,2020-01-30
青海,治愈率,0.0,2020-01-30
香港,治愈率,0.0,2020-01-30
黑龙江,治愈率,3.389830508474576,2020-01-30
上海,治愈率,5.882352941176471,2020-01-31
云南,治愈率,1.098901098901099,2020-01-31
全国,治愈率,2.0472041282463413,2020-01-31
内蒙古,治愈率,4.3478260869565215,2020-01-31
北京,治愈率,3.2051282051282053,2020-01-31
台湾,治愈率,0.0,2020-01-31
吉林,治愈率,5.882352941176471,2020-01-31
四川,治愈率,1.4492753623188406,2020-01-31
天津,治愈率,0.0,2020-01-31
宁夏,治愈率,0.0,2020-01-31
安徽,治愈率,1.0101010101010102,2020-01-31
山东,治愈率,0.9900990099009901,2020-01-31
山西,治愈率,2.127659574468085,2020-01-31
广东,治愈率,1.9230769230769231,2020-01-31
广西,治愈率,2.0,2020-01-31
新疆,治愈率,0.0,2020-01-31
江苏,治愈率,0.9900990099009901,2020-01-31
江西,治愈率,3.1468531468531467,2020-01-31
河北,治愈率,0.0,2020-01-31
河南,治愈率,0.7109004739336493,2020-01-31
浙江,治愈率,2.5041736227045077,2020-01-31
海南,治愈率,1.7543859649122806,2020-01-31
湖北,治愈率,2.3207045994687543,2020-01-31
湖南,治愈率,1.0282776349614395,2020-01-31
澳门,治愈率,0.0,2020-01-31
甘肃,治愈率,0.0,2020-01-31
福建,治愈率,0.0,2020-01-31
西藏,治愈率,0.0,2020-01-31
贵州,治愈率,6.896551724137931,2020-01-31
辽宁,治愈率,1.6666666666666667,2020-01-31
重庆,治愈率,0.42016806722689076,2020-01-31
陕西,治愈率,0.0,2020-01-31
青海,治愈率,0.0,2020-01-31
香港,治愈率,0.0,2020-01-31
黑龙江,治愈率,0.0,2020-01-31
上海,治愈率,5.4945054945054945,2020-02-01
云南,治愈率,2.857142857142857,2020-02-01
全国,治愈率,2.891848988888122,2020-02-01
内蒙古,治愈率,3.7037037037037037,2020-02-01
北京,治愈率,4.712041884816754,2020-02-01
台湾,治愈率,0.0,2020-02-01
吉林,治愈率,4.3478260869565215,2020-02-01
四川,治愈率,1.7316017316017316,2020-02-01
天津,治愈率,2.0833333333333335,2020-02-01
宁夏,治愈率,0.0,2020-02-01
安徽,治愈率,2.0588235294117645,2020-02-01
山东,治愈率,2.608695652173913,2020-02-01
山西,治愈率,3.5714285714285716,2020-02-01
广东,治愈率,2.3734177215189876,2020-02-01
广西,治愈率,1.8018018018018018,2020-02-01
新疆,治愈率,0.0,2020-02-01
江苏,治愈率,2.9661016949152543,2020-02-01
江西,治愈率,3.003003003003003,2020-02-01
河北,治愈率,2.8846153846153846,2020-02-01
河南,治愈率,1.8255578093306288,2020-02-01
浙江,治愈率,4.841149773071105,2020-02-01
海南,治愈率,3.125,2020-02-01
湖北,治愈率,2.94247299977959,2020-02-01
湖南,治愈率,3.4557235421166306,2020-02-01
澳门,治愈率,0.0,2020-02-01
甘肃,治愈率,0.0,2020-02-01
福建,治愈率,0.0,2020-02-01
西藏,治愈率,0.0,2020-02-01
贵州,治愈率,5.2631578947368425,2020-02-01
辽宁,治愈率,1.4492753623188406,2020-02-01
重庆,治愈率,2.5454545454545454,2020-02-01
陕西,治愈率,0.0,2020-02-01
青海,治愈率,0.0,2020-02-01
香港,治愈率,0.0,2020-02-01
黑龙江,治愈率,2.1052631578947367,2020-02-01
上海,治愈率,15.894039735099337,2020-02-10
云南,治愈率,12.751677852348994,2020-02-10
全国,治愈率,9.366952287306269,2020-02-10
内蒙古,治愈率,8.620689655172415,2020-02-10
北京,治愈率,14.035087719298245,2020-02-10
台湾,治愈率,5.555555555555555,2020-02-10
吉林,治愈率,16.049382716049383,2020-02-10
四川,治愈率,20.14388489208633,2020-02-10
天津,治愈率,7.8431372549019605,2020-02-10
宁夏,治愈率,26.41509433962264,2020-02-10
安徽,治愈率,10.232558139534884,2020-02-10
山东,治愈率,14.814814814814815,2020-02-10
山西,治愈率,21.311475409836067,2020-02-10
广东,治愈率,15.378079864061172,2020-02-10
广西,治愈率,13.953488372093023,2020-02-10
新疆,治愈率,0.0,2020-02-10
江苏,治愈率,16.310679611650485,2020-02-10
江西,治愈率,15.796019900497512,2020-02-10
河北,治愈率,17.15481171548117,2020-02-10
河南,治愈率,17.918552036199095,2020-02-10
浙江,治愈率,22.381378692927484,2020-02-10
海南,治愈率,13.380281690140846,2020-02-10
湖北,治愈率,7.0032778618255165,2020-02-10
湖南,治愈率,23.355263157894736,2020-02-10
澳门,治愈率,10.0,2020-02-10
甘肃,治愈率,15.116279069767442,2020-02-10
福建,治愈率,14.606741573033707,2020-02-10
西藏,治愈率,0.0,2020-02-10
贵州,治愈率,8.474576271186441,2020-02-10
辽宁,治愈率,12.037037037037036,2020-02-10
重庆,治愈率,15.020576131687243,2020-02-10
陕西,治愈率,14.155251141552512,2020-02-10
青海,治愈率,16.666666666666668,2020-02-10
香港,治愈率,0.0,2020-02-10
黑龙江,治愈率,7.5,2020-02-10
上海,治愈率,18.627450980392158,2020-02-11
云南,治愈率,13.636363636363637,2020-02-11
全国,治愈率,10.667828885610836,2020-02-11
内蒙古,治愈率,8.333333333333334,2020-02-11
北京,治愈率,15.909090909090908,2020-02-11
台湾,治愈率,5.555555555555555,2020-02-11
吉林,治愈率,21.686746987951807,2020-02-11
四川,治愈率,19.954128440366972,2020-02-11
天津,治愈率,9.345794392523365,2020-02-11
宁夏,治愈率,37.93103448275862,2020-02-11
安徽,治愈率,12.935883014623172,2020-02-11
山东,治愈率,16.096579476861166,2020-02-11
山西,治愈率,24.193548387096776,2020-02-11
广东,治愈率,19.77030352748154,2020-02-11
广西,治愈率,13.963963963963964,2020-02-11
