date,province,cases,count
2020/1/20,湖北,total_confirmed,270
2020/1/20,广东,total_confirmed,14
2020/1/20,河南,total_confirmed,0
2020/1/20,浙江,total_confirmed,0
2020/1/20,湖南,total_confirmed,0
2020/1/20,安徽,total_confirmed,0
2020/1/20,江西,total_confirmed,0
2020/1/20,江苏,total_confirmed,0
2020/1/20,重庆,total_confirmed,0
2020/1/20,山东,total_confirmed,0
2020/1/20,四川,total_confirmed,0
2020/1/20,黑龙江,total_confirmed,0
2020/1/20,北京,total_confirmed,5
2020/1/20,上海,total_confirmed,2
2020/1/20,福建,total_confirmed,0
2020/1/20,河北,total_confirmed,0
2020/1/20,陕西,total_confirmed,0
2020/1/20,广西,total_confirmed,0
2020/1/20,云南,total_confirmed,0
2020/1/20,海南,total_confirmed,0
2020/1/20,贵州,total_confirmed,0
2020/1/20,山西,total_confirmed,0
2020/1/20,辽宁,total_confirmed,0
2020/1/20,天津,total_confirmed,0
2020/1/20,甘肃,total_confirmed,0
2020/1/20,吉林,total_confirmed,0
2020/1/20,内蒙古,total_confirmed,0
2020/1/20,新疆,total_confirmed,0
2020/1/20,宁夏,total_confirmed,0
2020/1/20,香港,total_confirmed,0
2020/1/20,台湾,total_confirmed,0
2020/1/20,青海,total_confirmed,0
2020/1/20,澳门,total_confirmed,0
2020/1/20,西藏,total_confirmed,0
2020/1/20,湖北,total_recoveries,25
2020/1/20,广东,total_recoveries,0
2020/1/20,河南,total_recoveries,0
2020/1/20,浙江,total_recoveries,0
2020/1/20,湖南,total_recoveries,0
2020/1/20,安徽,total_recoveries,0
2020/1/20,江西,total_recoveries,0
2020/1/20,江苏,total_recoveries,0
2020/1/20,重庆,total_recoveries,0
2020/1/20,山东,total_recoveries,0
2020/1/20,四川,total_recoveries,0
2020/1/20,黑龙江,total_recoveries,0
2020/1/20,北京,total_recoveries,0
2020/1/20,上海,total_recoveries,0
2020/1/20,福建,total_recoveries,0
2020/1/20,河北,total_recoveries,0
2020/1/20,陕西,total_recoveries,0
2020/1/20,广西,total_recoveries,0
2020/1/20,云南,total_recoveries,0
2020/1/20,海南,total_recoveries,0
2020/1/20,贵州,total_recoveries,0
2020/1/20,山西,total_recoveries,0
2020/1/20,辽宁,total_recoveries,0
2020/1/20,天津,total_recoveries,0
2020/1/20,甘肃,total_recoveries,0
2020/1/20,吉林,total_recoveries,0
2020/1/20,内蒙古,total_recoveries,0
2020/1/20,新疆,total_recoveries,0
2020/1/20,宁夏,total_recoveries,0
2020/1/20,香港,total_recoveries,0
2020/1/20,台湾,total_recoveries,0
2020/1/20,青海,total_recoveries,0
2020/1/20,澳门,total_recoveries,0
2020/1/20,西藏,total_recoveries,0
2020/1/20,湖北,total_deaths,6
2020/1/20,广东,total_deaths,0
2020/1/20,河南,total_deaths,0
2020/1/20,浙江,total_deaths,0
2020/1/20,湖南,total_deaths,0
2020/1/20,安徽,total_deaths,0
2020/1/20,江西,total_deaths,0
2020/1/20,江苏,total_deaths,0
2020/1/20,重庆,total_deaths,0
2020/1/20,山东,total_deaths,0
2020/1/20,四川,total_deaths,0
2020/1/20,黑龙江,total_deaths,0
2020/1/20,北京,total_deaths,0
2020/1/20,上海,total_deaths,0
2020/1/20,福建,total_deaths,0
2020/1/20,河北,total_deaths,0
2020/1/20,陕西,total_deaths,0
2020/1/20,广西,total_deaths,0
2020/1/20,云南,total_deaths,0
2020/1/20,海南,total_deaths,0
2020/1/20,贵州,total_deaths,0
2020/1/20,山西,total_deaths,0
2020/1/20,辽宁,total_deaths,0
2020/1/20,天津,total_deaths,0
2020/1/20,甘肃,total_deaths,0
2020/1/20,吉林,total_deaths,0
2020/1/20,内蒙古,total_deaths,0
2020/1/20,新疆,total_deaths,0
2020/1/20,宁夏,total_deaths,0
2020/1/20,香港,total_deaths,0
2020/1/20,台湾,total_deaths,0
2020/1/20,青海,total_deaths,0
2020/1/20,澳门,total_deaths,0
2020/1/20,西藏,total_deaths,0
2020/1/21,湖北,total_confirmed,375
2020/1/21,广东,total_confirmed,26
2020/1/21,河南,total_confirmed,1
2020/1/21,浙江,total_confirmed,1
2020/1/21,湖南,total_confirmed,1
2020/1/21,安徽,total_confirmed,3
2020/1/21,江西,total_confirmed,2
2020/1/21,江苏,total_confirmed,0
2020/1/21,重庆,total_confirmed,5
2020/1/21,山东,total_confirmed,1
2020/1/21,四川,total_confirmed,2
2020/1/21,黑龙江,total_confirmed,1
2020/1/21,北京,total_confirmed,10
2020/1/21,上海,total_confirmed,9
2020/1/21,福建,total_confirmed,1
2020/1/21,河北,total_confirmed,0
2020/1/21,陕西,total_confirmed,0
2020/1/21,广西,total_confirmed,0
2020/1/21,云南,total_confirmed,1
2020/1/21,海南,total_confirmed,0
2020/1/21,贵州,total_confirmed,0
2020/1/21,山西,total_confirmed,0
2020/1/21,辽宁,total_confirmed,0
2020/1/21,天津,total_confirmed,2
2020/1/21,甘肃,total_confirmed,0
2020/1/21,吉林,total_confirmed,0
2020/1/21,内蒙古,total_confirmed,0
2020/1/21,新疆,total_confirmed,0
2020/1/21,宁夏,total_confirmed,0
2020/1/21,香港,total_confirmed,0
2020/1/21,台湾,total_confirmed,0
2020/1/21,青海,total_confirmed,0
2020/1/21,澳门,total_confirmed,0
2020/1/21,西藏,total_confirmed,0
2020/1/21,湖北,total_recoveries,28
2020/1/21,广东,total_recoveries,0
2020/1/21,河南,total_recoveries,0
2020/1/21,浙江,total_recoveries,0
2020/1/21,湖南,total_recoveries,0
2020/1/21,安徽,total_recoveries,0
2020/1/21,江西,total_recoveries,0
2020/1/21,江苏,total_recoveries,0
2020/1/21,重庆,total_recoveries,0
2020/1/21,山东,total_recoveries,0
2020/1/21,四川,total_recoveries,0
2020/1/21,黑龙江,total_recoveries,0
2020/1/21,北京,total_recoveries,0
2020/1/21,上海,total_recoveries,0
2020/1/21,福建,total_recoveries,0
2020/1/21,河北,total_recoveries,0
2020/1/21,陕西,total_recoveries,0
2020/1/21,广西,total_recoveries,0
2020/1/21,云南,total_recoveries,0
2020/1/21,海南,total_recoveries,0
2020/1/21,贵州,total_recoveries,0
2020/1/21,山西,total_recoveries,0
2020/1/21,辽宁,total_recoveries,0
2020/1/21,天津,total_recoveries,0
2020/1/21,甘肃,total_recoveries,0
2020/1/21,吉林,total_recoveries,0
2020/1/21,内蒙古,total_recoveries,0
2020/1/21,新疆,total_recoveries,0
2020/1/21,宁夏,total_recoveries,0
2020/1/21,香港,total_recoveries,0
2020/1/21,台湾,total_recoveries,0
2020/1/21,青海,total_recoveries,0
2020/1/21,澳门,total_recoveries,0
2020/1/21,西藏,total_recoveries,0
2020/1/21,湖北,total_deaths,9
2020/1/21,广东,total_deaths,0
2020/1/21,河南,total_deaths,0
2020/1/21,浙江,total_deaths,0
2020/1/21,湖南,total_deaths,0
2020/1/21,安徽,total_deaths,0
2020/1/21,江西,total_deaths,0
2020/1/21,江苏,total_deaths,0
2020/1/21,重庆,total_deaths,0
2020/1/21,山东,total_deaths,0
2020/1/21,四川,total_deaths,0
2020/1/21,黑龙江,total_deaths,0
2020/1/21,北京,total_deaths,0
2020/1/21,上海,total_deaths,0
2020/1/21,福建,total_deaths,0
2020/1/21,河北,total_deaths,0
2020/1/21,陕西,total_deaths,0
2020/1/21,广西,total_deaths,0
2020/1/21,云南,total_deaths,0
2020/1/21,海南,total_deaths,0
2020/1/21,贵州,total_deaths,0
2020/1/21,山西,total_deaths,0
2020/1/21,辽宁,total_deaths,0
2020/1/21,天津,total_deaths,0
2020/1/21,甘肃,total_deaths,0
2020/1/21,吉林,total_deaths,0
2020/1/21,内蒙古,total_deaths,0
2020/1/21,新疆,total_deaths,0
2020/1/21,宁夏,total_deaths,0
2020/1/21,香港,total_deaths,0
2020/1/21,台湾,total_deaths,0
2020/1/21,青海,total_deaths,0
2020/1/21,澳门,total_deaths,0
2020/1/21,西藏,total_deaths,0
