,name,type,value,date
0,Afghanistan,confirmed,0.0,2020-01-22
1,Afghanistan,confirmed,0.0,2020-01-23
2,Afghanistan,confirmed,0.0,2020-01-24
3,Afghanistan,confirmed,0.0,2020-01-25
4,Afghanistan,confirmed,0.0,2020-01-26
5,Afghanistan,confirmed,0.0,2020-01-27
6,Afghanistan,confirmed,0.0,2020-01-28
7,Afghanistan,confirmed,0.0,2020-01-29
8,Afghanistan,confirmed,0.0,2020-01-30
9,Afghanistan,confirmed,0.0,2020-01-31
10,Afghanistan,confirmed,0.0,2020-02-01
11,Afghanistan,confirmed,0.0,2020-02-02
12,Afghanistan,confirmed,0.0,2020-02-03
13,Afghanistan,confirmed,0.0,2020-02-04
14,Afghanistan,confirmed,0.0,2020-02-05
15,Afghanistan,confirmed,0.0,2020-02-06
16,Afghanistan,confirmed,0.0,2020-02-07
17,Afghanistan,confirmed,0.0,2020-02-08
18,Afghanistan,confirmed,0.0,2020-02-09
19,Afghanistan,confirmed,0.0,2020-02-10
20,Afghanistan,confirmed,0.0,2020-02-11
21,Afghanistan,confirmed,0.0,2020-02-12
22,Afghanistan,confirmed,0.0,2020-02-13
23,Afghanistan,confirmed,0.0,2020-02-14
24,Afghanistan,confirmed,0.0,2020-02-15
25,Afghanistan,confirmed,0.0,2020-02-16
26,Afghanistan,confirmed,0.0,2020-02-17
27,Afghanistan,confirmed,0.0,2020-02-18
28,Afghanistan,confirmed,0.0,2020-02-19
29,Afghanistan,confirmed,0.0,2020-02-20
30,Afghanistan,confirmed,0.0,2020-02-21
31,Afghanistan,confirmed,0.0,2020-02-22
32,Afghanistan,confirmed,0.0,2020-02-23
33,Afghanistan,confirmed,1.0,2020-02-24
34,Afghanistan,confirmed,1.0,2020-02-25
35,Afghanistan,confirmed,1.0,2020-02-26
36,Algeria,confirmed,0.0,2020-01-22
37,Algeria,confirmed,0.0,2020-01-23
38,Algeria,confirmed,0.0,2020-01-24
39,Algeria,confirmed,0.0,2020-01-25
40,Algeria,confirmed,0.0,2020-01-26
41,Algeria,confirmed,0.0,2020-01-27
42,Algeria,confirmed,0.0,2020-01-28
43,Algeria,confirmed,0.0,2020-01-29
44,Algeria,confirmed,0.0,2020-01-30
45,Algeria,confirmed,0.0,2020-01-31
46,Algeria,confirmed,0.0,2020-02-01
47,Algeria,confirmed,0.0,2020-02-02
48,Algeria,confirmed,0.0,2020-02-03
49,Algeria,confirmed,0.0,2020-02-04
50,Algeria,confirmed,0.0,2020-02-05
51,Algeria,confirmed,0.0,2020-02-06
52,Algeria,confirmed,0.0,2020-02-07
53,Algeria,confirmed,0.0,2020-02-08
54,Algeria,confirmed,0.0,2020-02-09
55,Algeria,confirmed,0.0,2020-02-10
56,Algeria,confirmed,0.0,2020-02-11
57,Algeria,confirmed,0.0,2020-02-12
58,Algeria,confirmed,0.0,2020-02-13
59,Algeria,confirmed,0.0,2020-02-14
60,Algeria,confirmed,0.0,2020-02-15
61,Algeria,confirmed,0.0,2020-02-16
62,Algeria,confirmed,0.0,2020-02-17
63,Algeria,confirmed,0.0,2020-02-18
64,Algeria,confirmed,0.0,2020-02-19
65,Algeria,confirmed,0.0,2020-02-20
66,Algeria,confirmed,0.0,2020-02-21
67,Algeria,confirmed,0.0,2020-02-22
68,Algeria,confirmed,0.0,2020-02-23
69,Algeria,confirmed,0.0,2020-02-24
70,Algeria,confirmed,1.0,2020-02-25
71,Algeria,confirmed,1.0,2020-02-26
72,Australia,confirmed,0.0,2020-01-22
73,Australia,confirmed,0.0,2020-01-23
74,Australia,confirmed,0.0,2020-01-24
75,Australia,confirmed,0.0,2020-01-25
76,Australia,confirmed,4.0,2020-01-26
77,Australia,confirmed,5.0,2020-01-27
78,Australia,confirmed,5.0,2020-01-28
79,Australia,confirmed,6.0,2020-01-29
80,Australia,confirmed,11.0,2020-01-30
81,Australia,confirmed,11.0,2020-01-31
82,Australia,confirmed,14.0,2020-02-01
83,Australia,confirmed,14.0,2020-02-02
84,Australia,confirmed,14.0,2020-02-03
85,Australia,confirmed,15.0,2020-02-04
86,Australia,confirmed,15.0,2020-02-05
87,Australia,confirmed,16.0,2020-02-06
88,Australia,confirmed,17.0,2020-02-07
89,Australia,confirmed,17.0,2020-02-08
90,Australia,confirmed,17.0,2020-02-09
91,Australia,confirmed,17.0,2020-02-10
92,Australia,confirmed,17.0,2020-02-11
93,Australia,confirmed,17.0,2020-02-12
94,Australia,confirmed,23.0,2020-02-13
95,Australia,confirmed,23.0,2020-02-14
96,Australia,confirmed,23.0,2020-02-15
97,Australia,confirmed,23.0,2020-02-16
98,Australia,confirmed,25.0,2020-02-17
99,Australia,confirmed,25.0,2020-02-18
100,Australia,confirmed,25.0,2020-02-19
101,Australia,confirmed,25.0,2020-02-20
102,Australia,confirmed,30.0,2020-02-21
103,Australia,confirmed,33.0,2020-02-22
104,Australia,confirmed,33.0,2020-02-23
105,Australia,confirmed,33.0,2020-02-24
106,Australia,confirmed,33.0,2020-02-25
107,Australia,confirmed,33.0,2020-02-26
108,Austria,confirmed,0.0,2020-01-22
109,Austria,confirmed,0.0,2020-01-23
110,Austria,confirmed,0.0,2020-01-24
111,Austria,confirmed,0.0,2020-01-25
112,Austria,confirmed,0.0,2020-01-26
113,Austria,confirmed,0.0,2020-01-27
114,Austria,confirmed,0.0,2020-01-28
115,Austria,confirmed,0.0,2020-01-29
116,Austria,confirmed,0.0,2020-01-30
117,Austria,confirmed,0.0,2020-01-31
118,Austria,confirmed,0.0,2020-02-01
119,Austria,confirmed,0.0,2020-02-02
120,Austria,confirmed,0.0,2020-02-03
121,Austria,confirmed,0.0,2020-02-04
122,Austria,confirmed,0.0,2020-02-05
123,Austria,confirmed,0.0,2020-02-06
124,Austria,confirmed,0.0,2020-02-07
125,Austria,confirmed,0.0,2020-02-08
126,Austria,confirmed,0.0,2020-02-09
127,Austria,confirmed,0.0,2020-02-10
128,Austria,confirmed,0.0,2020-02-11
129,Austria,confirmed,0.0,2020-02-12
130,Austria,confirmed,0.0,2020-02-13
131,Austria,confirmed,0.0,2020-02-14
132,Austria,confirmed,0.0,2020-02-15
133,Austria,confirmed,0.0,2020-02-16
134,Austria,confirmed,0.0,2020-02-17
135,Austria,confirmed,0.0,2020-02-18
136,Austria,confirmed,0.0,2020-02-19
137,Austria,confirmed,0.0,2020-02-20
138,Austria,confirmed,0.0,2020-02-21
139,Austria,confirmed,0.0,2020-02-22
140,Austria,confirmed,0.0,2020-02-23
141,Austria,confirmed,0.0,2020-02-24
142,Austria,confirmed,2.0,2020-02-25
143,Austria,confirmed,2.0,2020-02-26
144,Bahrain,confirmed,0.0,2020-01-22
145,Bahrain,confirmed,0.0,2020-01-23
146,Bahrain,confirmed,0.0,2020-01-24
147,Bahrain,confirmed,0.0,2020-01-25
148,Bahrain,confirmed,0.0,2020-01-26
149,Bahrain,confirmed,0.0,2020-01-27
150,Bahrain,confirmed,0.0,2020-01-28
151,Bahrain,confirmed,0.0,2020-01-29
152,Bahrain,confirmed,0.0,2020-01-30
153,Bahrain,confirmed,0.0,2020-01-31
154,Bahrain,confirmed,0.0,2020-02-01
155,Bahrain,confirmed,0.0,2020-02-02
156,Bahrain,confirmed,0.0,2020-02-03
157,Bahrain,confirmed,0.0,2020-02-04
158,Bahrain,confirmed,0.0,2020-02-05
159,Bahrain,confirmed,0.0,2020-02-06
160,Bahrain,confirmed,0.0,2020-02-07
161,Bahrain,confirmed,0.0,2020-02-08
162,Bahrain,confirmed,0.0,2020-02-09
163,Bahrain,confirmed,0.0,2020-02-10
164,Bahrain,confirmed,0.0,2020-02-11
165,Bahrain,confirmed,0.0,2020-02-12
166,Bahrain,confirmed,0.0,2020-02-13
167,Bahrain,confirmed,0.0,2020-02-14
168,Bahrain,confirmed,0.0,2020-02-15
169,Bahrain,confirmed,0.0,2020-02-16
170,Bahrain,confirmed,0.0,2020-02-17
171,Bahrain,confirmed,0.0,2020-02-18
172,Bahrain,confirmed,0.0,2020-02-19
173,Bahrain,confirmed,0.0,2020-02-20
174,Bahrain,confirmed,0.0,2020-02-21
175,Bahrain,confirmed,0.0,2020-02-22
176,Bahrain,confirmed,0.0,2020-02-23
177,Bahrain,confirmed,1.0,2020-02-24
178,Bahrain,confirmed,23.0,2020-02-25
179,Bahrain,confirmed,33.0,2020-02-26
180,Belgium,confirmed,0.0,2020-01-22
181,Belgium,confirmed,0.0,2020-01-23
182,Belgium,confirmed,0.0,2020-01-24
183,Belgium,confirmed,0.0,2020-01-25
184,Belgium,confirmed,0.0,2020-01-26
185,Belgium,confirmed,0.0,2020-01-27
186,Belgium,confirmed,0.0,2020-01-28
187,Belgium,confirmed,0.0,2020-01-29
188,Belgium,confirmed,0.0,2020-01-30
189,Belgium,confirmed,0.0,2020-01-31
190,Belgium,confirmed,0.0,2020-02-01
191,Belgium,confirmed,0.0,2020-02-02
192,Belgium,confirmed,0.0,2020-02-03
193,Belgium,confirmed,1.0,2020-02-04
194,Belgium,confirmed,1.0,2020-02-05
195,Belgium,confirmed,1.0,2020-02-06
196,Belgium,confirmed,1.0,2020-02-07
197,Belgium,confirmed,1.0,2020-02-08
198,Belgium,confirmed,1.0,2020-02-09
199,Belgium,confirmed,1.0,2020-02-10
200,Belgium,confirmed,1.0,2020-02-11
201,Belgium,confirmed,1.0,2020-02-12
